C00252056|12312016|110|500|54851
C00252825|12142016|120|66|7911
C00252825|12152016|99|89|8814
C00252825|12162016|89|178|15823
C00252825|12192016|59|202|11936
C00252825|12212016|91|17|1554
C00283432|12152016|350|1|350
C00283432|12182016|125|1|125
C00283432|12292016|125|1|125
C00283432|12302016|350|1|350
C00286500|12232016|2700|2|5400
C00286500|12312016|1000|1|1000
C00286922|12312016|36|49|1770
C00290064|12282016|250|1|250
C00300178|12162016|80|133|10638
C00309567|12142016|182|12|2190
C00309567|12152016|131|12|1575
C00309567|12162016|148|40|5920
C00309567|12192016|198|11|2175
C00309567|12202016|93|15|1395
C00309567|12212016|123|16|1975
C00309567|12222016|111|16|1775
C00309567|12232016|123|53|6529
C00309567|12272016|181|21|3810
C00309567|12282016|118|18|2115
C00309567|12292016|124|16|1981
C00309567|12302016|180|50|8985
C00313510|12232016|2000|1|2000
C00325092|12312016|88|422|37303
C00326801|12142016|192|4|768
C00326801|12152016|73|13|945
C00326801|12162016|466|12|5597
C00326801|12172016|23|4|91
C00326801|12192016|314|8|2515
C00326801|12202016|348|10|3475
C00326801|12212016|535|10|5350
C00326801|12222016|810|7|5667
C00326801|12232016|694|9|6250
C00326801|12242016|601|8|4810
C00326801|12252016|84|3|253
C00326801|12262016|506|4|2025
C00326801|12272016|492|12|5908
C00326801|12282016|72|25|1798
C00326801|12292016|1000|1|1000
C00326801|12302016|312|4|1250
C00326801|12312016|359|22|7895
C00330019|12152016|82|49|4033
C00330019|12162016|94|28|2628
C00330019|12232016|95|29|2755
C00330019|12292016|62|7|432
C00330019|12302016|84|69|5813
C00330886|12232016|250|1|250
C00330886|12272016|1500|1|1500
C00331769|12182016|200|1|200
C00331769|12192016|250|1|250
C00331769|12282016|100|1|100
C00331769|12292016|500|1|500
C00337394|12162016|36|38|1374
C00337394|12292016|38|31|1179
C00337964|12312016|155|7|1085
C00341396|12142016|49|562|27528
C00341396|12152016|51|454|23062
C00341396|12162016|69|502|34810
C00341396|12172016|51|332|16914
C00341396|12182016|51|127|6467
C00341396|12192016|30|43|1291
C00341396|12202016|27|53|1449
C00341396|12212016|28|60|1709
C00341396|12222016|43|40|1725
C00341396|12232016|28|42|1164
C00341396|12242016|27|53|1414
C00341396|12252016|38|47|1770
C00341396|12262016|33|79|2618
C00341396|12272016|37|200|7311
C00341396|12282016|35|124|4356
C00341396|12292016|29|81|2376
C00341396|12302016|38|190|7284
C00341396|12312016|57|59|3365
C00348938|12152016|37|20|743
C00348938|12162016|42|105|4378
C00348938|12192016|5000|1|5000
C00348938|12202016|5000|1|5000
C00348938|12312016|37|21|771
C00350835|12152016|214|2|429
C00350835|12312016|309|50|15453
C00366559|12232016|8|2|15
C00366559|12312016|68|198|13415
C00367995|12312016|119|93|11040
C00371948|12152016|34|1|34
C00371948|12302016|102|33|3350
C00385120|12312016|187|17|3181
C00385989|12312016|145|44|6386
C00392670|12142016|2500|1|2500
C00392670|12312016|1000|1|1000
C00394122|12152016|36|15|545
C00394122|12222016|38|19|720
C00394122|12292016|36|15|545
C00394650|12312016|128|21|2692
C00397505|12302016|250|1|250
C00402107|12312016|65|75|4860
C00402321|12302016|69|5|345
C00402545|12192016|21|48|1016
C00404194|12162016|34|174|5952
C00404194|12302016|34|178|6088
C00410654|12312016|62|76|4682
C00415166|12312016|75|34|2540
C00415372|12192016|375|2|750
C00415372|12202016|50|1|50
C00419978|12272016|2700|1|2700
C00419978|12312016|312|1|312
C00420950|12312016|154|34|5230
C00421982|12232016|34|6|204
C00429852|12162016|31|46|1423
C00432906|12292016|1500|1|1500
C00437426|12312016|70|3|210
C00438697|12272016|1000|1|1000
C00449165|12312016|59|55|3235
C00450734|12162016|32|3|95
C00450734|12292016|32|3|95
C00458158|12312016|32|174|5628
C00462143|12192016|558|3|1674
C00472704|12192016|1000|1|1000
C00473736|12162016|2000|1|2000
C00473736|12272016|500|1|500
C00473736|12302016|500|1|500
C00473918|12202016|1000|1|1000
C00478404|12222016|5000|1|5000
C00478404|12232016|4750|1|4750
C00478404|12312016|157|173|27245
C00479246|12152016|93|103|9580
C00479246|12302016|93|103|9580
C00481309|12232016|59|17|997
C00489252|12312016|5768|2|11535
C00493551|12152016|49|110|5338
C00493551|12302016|49|110|5338
C00494583|12272016|450|1|450
C00494856|12212016|250|1|250
C00497115|12312016|250|1|250
C00497859|12312016|450|2|900
C00497933|12212016|300|1|300
C00499236|12152016|250|1|250
C00499236|12192016|250|1|250
C00499236|12212016|1000|1|1000
C00500421|12292016|250|1|250
C00500421|12312016|250|1|250
C00500843|12142016|22|13|292
C00500843|12152016|121|14|1700
C00500843|12162016|25|13|320
C00500843|12172016|27|18|480
C00500843|12182016|30|18|540
C00500843|12192016|90|10|905
C00500843|12202016|58|15|868
C00500843|12212016|136|10|1355
C00500843|12222016|23|16|368
C00500843|12232016|61|13|790
C00500843|12242016|24|14|330
C00500843|12252016|43|3|128
C00500843|12262016|54|13|705
C00500843|12272016|15|13|194
C00500843|12282016|21|61|1271
C00500843|12292016|250|1|250
C00500843|12302016|90|4|360
C00500843|12312016|981|11|10792
C00506162|12282016|500|1|500
C00509331|12152016|50|7|350
C00509331|12292016|50|7|350
C00510461|12162016|500|1|500
C00514406|12202016|100|8|798
C00539866|12292016|625|2|1250
C00541011|12232016|1875|1|1875
C00541011|12302016|30000|1|30000
C00543967|12212016|2500|2|5000
C00543967|12272016|1750|1|1750
C00543967|12302016|500|1|500
C00543967|12312016|0|2|0
C00545194|12252016|27|20|539
C00550087|12282016|2700|1|2700
C00552109|12312016|165|7|1157
C00558320|12152016|1000|1|1000
C00558668|12212016|1000|1|1000
C00558668|12222016|667|3|2000
C00558668|12282016|90|7|633
C00558668|12302016|95|11|1050
C00559765|12312016|12125|4|48500
C00562264|12232016|209|20|4176
C00563940|12292016|625|2|1250
C00569707|12162016|20|1|20
C00569707|12292016|23|1|23
C00571976|12282016|5000|1|5000
C00575126|12202016|833|3|2500
C00581827|12212016|250|1|250
C00582890|12182016|50|1|50
C00582890|12252016|50|3|150
C00591776|12302016|250|1|250
C00612382|12222016|4174|1|4174
C00615690|12312016|368|4|1472
C00624833|12152016|1413|1|1413
C00624833|12312016|780|1|780
C00626655|12212016|10400|1|10400
C00626655|12222016|10400|1|10400
C00628883|12272016|500|1|500
C00630244|12212016|2700|2|5400
C00630244|12242016|500|1|500
C00630244|12272016|300|1|300
C00630244|12282016|250|1|250
C00630244|12292016|1512|2|3025
C00630244|12302016|475|4|1900
C00630244|12312016|1049|9|9445
